"R0000100","R0002200","R0002300","R0543940","R0547525","R0547530","R0548100","R0549500","R0549800","R0552300","R0552400","R0554900","R0590520"
3287,16,1,12,3,1,1,0,-4,258,290,0,808
3288,15,1,12,3,1,1,0,-4,16,200,-4,-4
3289,22,1,12,3,1,1,0,-4,926,270,0,462
3290,18,1,12,3,1,4,0,-4,258,465,0,400
3291,15,2,13,3,1,1,0,13,259,775,1,625
3292,23,1,8,3,1,1,0,-4,196,411,-4,1035
3293,17,1,16,1,1,1,0,-4,247,394,0,625
3294,17,1,16,2,1,1,0,-4,868,290,0,488
3295,23,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3296,22,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3297,16,1,13,-5,-5,-5,-5,-5,-5,-5,-5,-5
3298,14,1,11,1,1,6,0,-4,808,472,-4,-4
3299,20,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3300,15,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3301,14,1,-5,2,0,1,0,-4,146,191,0,375
3302,18,1,13,1,1,1,0,14,267,643,1,481
3303,20,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3304,18,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3305,18,2,12,1,1,1,0,-4,636,290,0,-4
3306,15,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3307,14,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3308,21,2,9,1,1,1,0,-4,259,631,1,558
3309,18,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3310,14,2,11,1,1,1,0,-4,916,775,1,599
3311,23,2,12,1,1,1,0,-4,916,325,1,721
3312,22,1,12,2,1,6,0,-4,-4,-4,-4,-4
3313,21,2,12,1,1,5,0,-4,196,985,0,313
3314,16,2,11,1,1,1,0,-4,196,715,0,271
3315,14,2,14,1,1,6,0,-4,398,333,0,350
3316,23,2,12,-5,-5,-5,-5,-5,-5,-5,-5,-5
3317,15,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3318,19,1,18,1,0,1,0,-4,898,290,0,1202
3319,18,1,17,2,1,1,0,-4,888,275,0,955
3320,14,1,16,2,0,1,1,-4,809,370,-4,466
3321,16,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3322,22,1,14,2,1,1,0,-4,398,290,1,1368
3323,19,2,9,1,1,1,0,-4,578,775,1,414
3324,15,2,-5,1,1,1,0,18,726,385,0,400
3325,15,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3326,15,2,11,1,1,6,0,-4,517,965,1,960
3327,22,2,11,2,1,1,0,-4,879,715,0,345
3328,14,1,14,2,1,1,0,-4,626,290,0,600
3329,15,1,12,2,1,1,1,-4,706,301,0,416
3330,24,2,9,1,1,6,0,-4,936,834,0,410
3331,22,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3332,19,2,10,-5,-5,-5,-5,-5,-5,-5,-5,-5
3333,16,2,11,1,1,5,0,-4,316,775,1,498
3334,15,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3335,14,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3336,16,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3337,15,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3338,17,2,13,1,1,1,0,-4,809,473,0,591
3339,16,2,18,1,1,6,0,-4,916,195,0,1106
3340,15,2,7,1,1,6,0,-4,876,985,0,-4
3341,16,1,12,3,1,1,0,-4,509,715,1,833
3342,19,1,13,2,1,1,0,13,567,310,1,577
3343,22,1,16,2,1,1,0,-4,196,290,-4,-4
3344,24,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3345,23,1,10,2,1,1,0,-4,506,640,1,821
3346,24,1,13,1,1,1,0,-4,617,394,0,547
3347,17,1,-4,2,1,1,0,-4,809,480,1,875
3348,19,1,11,1,1,6,0,-4,936,834,0,256
3349,23,1,13,2,1,1,0,-4,936,853,0,986
3350,18,1,-5,1,1,1,0,-4,196,985,0,425
3351,17,1,8,3,1,1,0,-4,316,650,0,500
3352,17,1,17,1,1,1,0,-4,406,93,0,1026
3353,14,1,12,3,1,1,0,-4,236,405,0,353
3354,18,1,7,2,1,1,0,-4,808,694,0,231
3355,23,1,18,-5,-5,-5,-5,-5,-5,-5,-5,-5
3356,21,1,16,1,1,1,0,-4,569,83,1,1010
3357,23,1,14,1,1,1,0,-4,656,394,0,843
3358,24,1,16,2,1,6,0,-4,576,290,0,581
3359,23,1,12,2,1,1,0,-4,258,721,0,375
3360,24,1,18,3,1,1,0,-4,876,60,0,682
3361,18,1,13,1,1,4,0,13,406,0,0,557
3362,22,1,13,2,1,1,0,-4,646,290,0,962
3363,23,1,13,2,0,1,0,-4,207,430,0,1019
3364,24,1,10,2,1,1,0,-4,318,290,0,635
3365,18,2,12,1,1,6,0,-4,636,693,0,295
3366,19,2,12,1,1,6,0,-4,196,405,1,350
3367,17,2,16,1,1,1,1,-4,726,321,0,705
3368,15,2,13,1,1,1,0,-4,658,775,0,516
3369,22,2,12,1,1,5,0,-4,247,721,0,450
3370,17,1,15,1,1,6,0,-4,426,93,1,846
3371,16,1,16,1,1,1,0,-4,509,154,0,855
3372,16,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3373,20,1,18,2,0,3,0,-4,896,85,0,1139
3374,19,2,17,2,1,6,0,-4,876,111,0,538
3375,16,2,15,2,1,1,0,-4,849,290,0,427
3376,14,1,15,1,1,6,0,13,196,290,0,561
3377,15,2,-5,1,1,1,0,14,656,290,0,433
3378,23,2,13,1,1,5,0,-4,888,171,-4,-4
3379,18,1,12,2,1,1,0,-4,689,290,0,500
3380,15,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3381,17,1,18,3,1,1,0,-4,916,555,0,693
3382,18,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3383,15,1,12,2,1,6,0,-4,196,413,0,325
3384,21,1,5,2,1,1,0,-4,16,902,0,310
3385,21,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3386,19,1,8,2,1,1,0,-4,636,290,-4,-4
3387,18,2,13,1,1,6,0,-4,-4,-4,-4,-4
3388,16,1,14,2,1,1,0,-4,618,154,0,870
3389,14,1,12,-5,-5,-5,-5,-5,-5,-5,-5,-5
3390,18,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3391,16,1,15,1,1,1,0,-4,196,985,1,400
3392,14,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3393,16,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3394,21,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3395,23,1,12,1,0,1,0,-4,196,290,0,745
3396,16,1,16,2,1,6,0,-4,926,0,0,789
3397,21,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3398,16,2,14,2,1,5,0,-4,386,465,1,671
3399,24,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3400,24,1,12,2,1,1,0,-4,916,525,0,750
3401,23,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3402,15,1,14,2,1,6,0,-4,896,181,0,600
3403,23,1,14,2,1,4,0,-4,578,430,1,-4
3404,15,1,12,3,1,6,0,-4,319,775,0,468
3405,16,2,-5,2,1,1,0,-4,209,535,1,438
3406,14,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3407,18,2,12,-5,-5,-5,-5,-5,-5,-5,-5,-5
3408,22,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3409,15,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3410,15,2,12,2,1,1,0,-4,196,411,-4,463
3411,17,2,13,2,1,1,0,12,196,411,1,368
3412,16,2,13,1,0,6,1,-4,716,290,0,440
3413,19,2,12,2,1,1,0,-4,517,480,1,960
3414,17,2,13,1,0,1,0,-4,267,775,1,875
3415,15,2,12,2,1,1,0,-4,509,715,1,860
3416,14,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3417,14,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3418,15,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3419,17,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3420,16,2,12,1,1,6,0,-4,-4,-4,-4,-4
3421,16,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
